subject,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
IVAN,0.09938788414001465,0.23238110542297363,0.13299322128295898,0.0850062370300293,0.18308711051940918,0.09808087348937988,0.09896039962768555,0.16890573501586914,0.0699453353881836,0.08400654792785645,0.358076810836792,0.27407026290893555,0.07784414291381836,0.44986653327941895,0.3720223903656006,0.06265974044799805,0.49199724197387695,0.4293375015258789,0.07800698280334473,0.1549696922302246,0.07696270942687988,0.1190636157989502,0.19687509536743164,0.07781147956848145,0.07000398635864258,0.30919432640075684,0.23919034004211426,0.09078311920166016,0.5199661254882812,0.4291830062866211,0.09784436225891113
IVAN,0.08515095710754395,0.35906267166137695,0.273911714553833,0.07690715789794922,0.21068453788757324,0.13377737998962402,0.09803342819213867,0.21024227142333984,0.11220884323120117,0.08487749099731445,0.2748987674713135,0.19002127647399902,0.08382272720336914,0.41414642333984375,0.3303236961364746,0.06400537490844727,0.4848024845123291,0.42079710960388184,0.0780644416809082,0.16200852394104004,0.08394408226013184,0.1193552017211914,0.197129487991333,0.0777742862701416,0.0838935375213623,0.28044986724853516,0.19655632972717285,0.08442854881286621,0.24644112586975098,0.16201257705688477,0.09110856056213379
IVAN,0.09813451766967773,0.23100972175598145,0.1328752040863037,0.08480572700500488,0.21791815757751465,0.13311243057250977,0.09169721603393555,0.16171026229858398,0.07001304626464844,0.07751917839050293,0.2881326675415039,0.21061348915100098,0.08513927459716797,0.47119688987731934,0.38605761528015137,0.07089567184448242,0.428668737411499,0.3577730655670166,0.0841972827911377,0.19025230407714844,0.10605502128601074,0.11907601356506348,0.17589497566223145,0.05681896209716797,0.09105324745178223,0.2741539478302002,0.18310070037841797,0.08390688896179199,0.5130136013031006,0.4291067123413086,0.10499811172485352
IVAN,0.09879755973815918,0.12700963020324707,0.02821207046508789,0.09113430976867676,0.16184782981872559,0.07071352005004883,0.09042978286743164,0.2101433277130127,0.11971354484558105,0.07804656028747559,0.24608707427978516,0.16804051399230957,0.07794761657714844,0.4074218273162842,0.32947421073913574,0.07053685188293457,0.44329023361206055,0.372753381729126,0.08425521850585938,0.16898751258850098,0.0847322940826416,0.11209297180175781,0.17530202865600586,0.06320905685424805,0.09171175956726074,0.2669382095336914,0.17522644996643066,0.08484983444213867,0.27478909492492676,0.18993926048278809,0.11208486557006836
IVAN,0.10605072975158691,0.17569589614868164,0.06964516639709473,0.09119439125061035,0.18999838829040527,0.09880399703979492,0.09132504463195801,0.125746488571167,0.034421443939208984,0.0995340347290039,0.3312559127807617,0.2317218780517578,0.077423095703125,0.36513400077819824,0.28771090507507324,0.05614471435546875,0.44305896759033203,0.3869142532348633,0.08413815498352051,0.5201029777526855,0.43596482276916504,0.12670326232910156,0.17595267295837402,0.04924941062927246,0.09074878692626953,0.2458961009979248,0.15514731407165527,0.08417224884033203,0.24599647521972656,0.16182422637939453,0.11924099922180176
IVAN,0.09131908416748047,0.23230671882629395,0.14098763465881348,0.06990194320678711,0.2389984130859375,0.1690964698791504,0.0911719799041748,0.1690819263458252,0.07790994644165039,0.09761404991149902,0.28080034255981445,0.18318629264831543,0.09102487564086914,0.5831129550933838,0.49208807945251465,0.06369829177856445,0.4010486602783203,0.33735036849975586,0.06984257698059082,0.13277387619018555,0.06293129920959473,0.11322140693664551,0.14117932319641113,0.027957916259765625,0.07715296745300293,0.26670193672180176,0.18954896926879883,0.06300067901611328,0.2743499279022217,0.2113492488861084,0.1268599033355713
IVAN,0.09083700180053711,0.13283157348632812,0.041994571685791016,0.07692527770996094,0.18302273750305176,0.10609745979309082,0.08389997482299805,0.11212468147277832,0.028224706649780273,0.10588693618774414,0.29577112197875977,0.18988418579101562,0.07010579109191895,0.3721020221710205,0.30199623107910156,0.05641651153564453,0.37299418449401855,0.316577672958374,0.08412408828735352,0.18135428428649902,0.09723019599914551,0.10683059692382812,0.1205589771270752,0.01372838020324707,0.09809732437133789,0.2741837501525879,0.17608642578125,0.08391332626342773,0.26023340225219727,0.17632007598876953,0.08475804328918457
IVAN,0.09897351264953613,0.822547197341919,0.7235736846923828,0.09151554107666016,0.23232078552246094,0.14080524444580078,0.07708549499511719,0.22515654563903809,0.1480710506439209,0.083831787109375,0.6600043773651123,0.5761725902557373,0.07772135734558105,0.45698094367980957,0.3792595863342285,0.06429505348205566,0.43596625328063965,0.371671199798584,0.07810831069946289,0.15494394302368164,0.07683563232421875,0.11911392211914062,0.15404868125915527,0.03493475914001465,0.09214067459106445,0.2958254814147949,0.20368480682373047,0.0842444896697998,0.2810838222503662,0.1968393325805664,0.1192178726196289
IVAN,0.09100055694580078,0.26697659492492676,0.17597603797912598,0.07029366493225098,0.18944454193115234,0.11915087699890137,0.0919654369354248,0.1348574161529541,0.0428919792175293,0.10499167442321777,0.308868408203125,0.20387673377990723,0.07010006904602051,0.35083508491516113,0.2807350158691406,0.06411957740783691,0.4012613296508789,0.337141752243042,0.09107160568237305,0.21073603630065918,0.11966443061828613,0.11232376098632812,0.14009666442871094,0.027772903442382812,0.08471179008483887,0.246199369430542,0.16148757934570312,0.08504199981689453,0.24600958824157715,0.16096758842468262,0.10570955276489258
IVAN,0.09879016876220703,0.14757752418518066,0.04878735542297363,0.0843350887298584,0.16228413581848145,0.07794904708862305,0.09113097190856934,0.2600719928741455,0.16894102096557617,0.09798550605773926,0.25264501571655273,0.15465950965881348,0.09134984016418457,0.38629889488220215,0.2949490547180176,0.06390714645385742,0.435833215713501,0.37192606925964355,0.09204792976379395,0.15487957000732422,0.06283164024353027,0.1194155216217041,0.1332557201385498,0.013840198516845703,0.0849313735961914,0.26767969131469727,0.18274831771850586,0.09112763404846191,0.21733498573303223,0.1262073516845703,0.12017631530761719
